"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
3.2775,-0.0167919258419155,-0.296650103222101,-0.737284101221264,-0.580505805003519
3.285,-0.0212283370770029,-0.294109991397975,-0.743150520447511,-0.574053363407687
3.2925,-0.0256134472275885,-0.291515058214466,-0.748950029654066,-0.567540149065301
3.3,-0.0299466458835094,-0.288866176244677,-0.754681998006628,-0.560966996582335
3.3075,-0.0342273372244536,-0.286164223894054,-0.760345806871607,-0.554334746745781
3.315,-0.0384549400494437,-0.283410085149134,-0.765940849860998,-0.547644246322886
3.3225,-0.042628887801814,-0.28060464932708,-0.771466532873669,-0.540896347860653
3.33,-0.046748628589719,-0.277748810826108,-0.776922274133088,-0.534091909485674
3.3375,-0.0508136252022185,-0.274843468876877,-0.782307504221512,-0.527231794704361
3.345,-0.0548233551209901,-0.271889527294935,-0.787621666110676,-0.520316872203644
3.3525,-0.058777310527718,-0.268887894234274,-0.792864215189002,-0.513348015652186
3.36,-0.0626749983072008,-0.265839481942105,-0.798034619285374,-0.506326103502201
3.3675,-0.0665159400462403,-0.262745206514905,-0.803132358689504,-0.499252018791923
3.375,-0.0702996720283569,-0.259605987655807,-0.808156926168929,-0.492126648948778
3.3825,-0.0740257452243854,-0.256422748433431,-0.813107826982664,-0.484950885593342
3.39,-0.077693725279011,-0.253196415042194,-0.817984578891561,-0.477725624344125
3.3975,-0.0813031924932973,-0.249927916564189,-0.822786712165414,-0.47045176462324
3.405,-0.0848537418032638,-0.24661818473269,-0.827513769586822,-0.463130209463021
3.4125,-0.0883449827545735,-0.243268153697354,-0.832165306451888,-0.455761865313637
3.42,-0.0917765394733886,-0.239878759791177,-0.836740890567764,-0.448347641851759
3.4275,-0.0951480506334518,-0.236450941299268,-0.841240102247098,-0.440888451790329
3.435,-0.0984591694194583,-0.232985638229504,-0.845662534299426,-0.433385210689483
3.4425,-0.101709563486778,-0.229483792085114,-0.850007792019535,-0.425838836768679
3.45,-0.104898914917589,-0.225946345639259,-0.854275493172873,-0.418250250720073
3.4575,-0.108026920173486,-0.222374242711657,-0.858465267978005,-0.410620375523201
3.465,-0.111093290044633,-0.218768427947302,-0.862576759086212,-0.402950136260991
3.4725,-0.114097749595517,-0.215129846597335,-0.86660962155823,-0.395240459937174
3.48,-0.117040038107363,-0.211459444302107,-0.870563522838208,-0.38749227529512
3.4875,-0.1199199090173,-0.207758166876492,-0.874438142724918,-0.379706512638145
