"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","dB(St(FloquetPort2:1,FloquetPort1:1)) []"
5.07,-9.54026666282737,-0.710921991058247
5.085,-9.47784805868718,-0.719106241609908
5.1,-9.41614722103204,-0.727325138106145
5.115,-9.35515672669837,-0.735577501843241
5.13,-9.29486903226229,-0.743862173379406
5.145,-9.23527649438474,-0.752178012276272
5.16,-9.17637138845486,-0.76052389684264
5.175,-9.11814592566106,-0.768898723880504
5.19,-9.06059226860959,-0.777301408433465
5.205,-9.00370254560185,-0.78573088353758
5.22,-8.94746886367328,-0.794186099974733
5.235,-8.891883320489,-0.802666026028533
5.25,-8.83693801518454,-0.811169647242857
5.265,-8.78262505823316,-0.81969596618305
5.28,-8.72893658041538,-0.828244002199845
5.295,-8.67586474096048,-0.836812791196047
5.31,-8.62340173492467,-0.845401385396008
5.325,-8.57153979986564,-0.854008853117962
5.34,-8.52027122186882,-0.862634278549244
5.355,-8.46958834097648,-0.871276761524399
5.37,-8.41948355606672,-0.879935417306258
5.385,-8.36994932922641,-0.888609376369977
5.4,-8.32097818965804,-0.897297784190079
5.415,-8.27256273715813,-0.905999801030524
5.43,-8.22469564520151,-0.914714601737797
5.445,-8.17736966366352,-0.923441375537119
5.46,-8.13057762120936,-0.932179325831648
5.475,-8.08431242737813,-0.940927670004873
5.49,-8.03856707438641,-0.949685639226035
5.505,-7.9933346386749,-0.958452478258714
5.52,-7.94860828221937,-0.967227445272526
5.535,-7.90438125362597,-0.97600981165796
5.55,-7.8606468890291,-0.984798861844352
5.565,-7.81739861280876,-0.993593893121003
5.58,-7.77462993814312,-1.00239421546145
5.595,-7.7323344674107,-1.01119915135087
5.61,-7.69050589245543,-1.02000803561666
5.625,-7.64913799472705,-1.0288202152621
5.64,-7.608224645308,-1.03763504930326
5.655,-7.56775980483757,-1.04645190860894
5.67,-7.52773752334263,-1.05527017574376
5.685,-7.48815193998429,-1.06408924481447
5.7,-7.44899728272828,-1.07290852131923
5.715,-7.41026786794703,-1.08172742200011
5.73,-7.37195809996016,-1.09054537469862
5.745,-7.33406247052006,-1.09936181821436
5.76,-7.29657555824825,-1.10817620216671
5.775,-7.25949202802831,-1.11698798685963
5.79,-7.22280663036009,-1.12579664314941
5.805,-7.18651420067999,-1.13460165231559
5.82,-7.15060965865172,-1.14340250593473
5.835,-7.11508800743108,-1.15219870575734
5.85,-7.07994433290874,-1.16098976358762
5.865,-7.04517380293406,-1.16977520116634
5.88,-7.01077166652312,-1.17855455005652
5.895,-6.97673325305368,-1.18732735153207
5.91,-6.9430539714496,-1.19609315646942
5.925,-6.90972930935705,-1.2048515252419
5.94,-6.87675483231471,-1.21360202761706
5.955,-6.8441261829197,-1.22234424265685
5.97,-6.81183907999129,-1.23107775862052
5.985,-6.7798893177337,-1.23980217287043
6,-6.74827276489963,-1.24851709178057
