Freq [GHz],"dB(St(FloquetPort1:1,FloquetPort1:1)) []","dB(St(FloquetPort2:1,FloquetPort1:1)) []"
4.785,-10.87059468,-0.563721494
4.7925,-10.83195738,-0.567350986
4.8,-10.79351731,-0.570995945
4.8075,-10.75527487,-0.574656168
4.815,-10.71723039,-0.578331455
4.8225,-10.67938413,-0.582021607
4.83,-10.64173628,-0.585726426
4.8375,-10.60428696,-0.589445718
4.845,-10.56703624,-0.593179289
4.8525,-10.52998412,-0.596926944
4.86,-10.49313054,-0.600688494
4.8675,-10.45647539,-0.604463748
4.875,-10.42001852,-0.608252519
4.8825,-10.3837597,-0.612054619
4.89,-10.34769869,-0.615869863
4.8975,-10.31183518,-0.619698068
4.905,-10.27616882,-0.62353905
4.9125,-10.24069923,-0.62739263
4.92,-10.20542598,-0.631258627
4.9275,-10.17034861,-0.635136864
4.935,-10.13546662,-0.639027163
4.9425,-10.10077948,-0.64292935
4.95,-10.06628664,-0.64684325
4.9575,-10.03198749,-0.650768691
4.965,-9.997881419,-0.654705501
4.9725,-9.96396778,-0.658653511
4.98,-9.930245899,-0.662612553
4.9875,-9.89671508,-0.666582459
4.995,-9.863374605,-0.670563063
5.0025,-9.830223731,-0.674554202
5.01,-9.797261699,-0.678555711
5.0175,-9.764487728,-0.68256743
5.025,-9.731901022,-0.686589197
5.0325,-9.699500765,-0.690620853
5.04,-9.667286127,-0.69466224
5.0475,-9.635256263,-0.698713203
5.055,-9.603410314,-0.702773585
5.0625,-9.571747409,-0.706843232
5.07,-9.540266663,-0.710921991
5.0775,-9.508967181,-0.715009711
5.085,-9.477848059,-0.719106242
5.0925,-9.44690838,-0.723211433
5.1,-9.416147221,-0.727325138
5.1075,-9.38556365,-0.731447209
5.115,-9.355156727,-0.735577502
5.1225,-9.324925505,-0.739715871
5.13,-9.294869032,-0.743862173
5.1375,-9.26498635,-0.748016267
5.145,-9.235276494,-0.752178012
5.1525,-9.205738498,-0.756347268
5.16,-9.176371388,-0.760523897
5.1675,-9.147174191,-0.764707761
5.175,-9.118145926,-0.768898724
5.1825,-9.089285613,-0.773096651
5.19,-9.060592269,-0.777301408
5.1975,-9.032064908,-0.781512863
5.205,-9.003702546,-0.785730884
5.2125,-8.975504193,-0.789955339
5.22,-8.947468864,-0.7941861
5.2275,-8.919595569,-0.798423038
5.235,-8.89188332,-0.802666026
5.2425,-8.864331132,-0.806914937
5.25,-8.836938015,-0.811169647
5.2575,-8.809702986,-0.815430031
5.265,-8.782625058,-0.819695966
5.2725,-8.75570325,-0.82396733
5.28,-8.72893658,-0.828244002
5.2875,-8.70232407,-0.832525862
5.295,-8.675864741,-0.836812791
5.3025,-8.64955762,-0.841104671
5.31,-8.623401735,-0.845401385
5.3175,-8.597396117,-0.849702818
5.325,-8.5715398,-0.854008853
5.3325,-8.545831821,-0.858319378
5.34,-8.520271222,-0.862634279
5.3475,-8.494857046,-0.866953443
5.355,-8.469588341,-0.871276762
5.3625,-8.444464159,-0.875604123
5.37,-8.419483556,-0.879935417
5.3775,-8.394645591,-0.884270538
5.385,-8.369949329,-0.888609376
5.3925,-8.345393838,-0.892951827
5.4,-8.32097819,-0.897297784
5.4075,-8.296701462,-0.901647143
5.415,-8.272562737,-0.905999801
5.4225,-8.248561101,-0.910355654
5.43,-8.224695645,-0.914714602
5.4375,-8.200965466,-0.919076542
5.445,-8.177369664,-0.923441376
5.4525,-8.153907345,-0.927809003
5.46,-8.130577621,-0.932179326
5.4675,-8.107379608,-0.936552247
5.475,-8.084312427,-0.94092767
5.4825,-8.061375205,-0.945305499
5.49,-8.038567074,-0.949685639
5.4975,-8.015887171,-0.954067997
5.505,-7.993334639,-0.958452478
5.5125,-7.970908625,-0.962838992
5.52,-7.948608282,-0.967227445
5.5275,-7.92643277,-0.971617749
5.535,-7.904381254,-0.976009812
5.5425,-7.882452901,-0.980403545
5.55,-7.860646889,-0.984798862
5.5575,-7.838962397,-0.989195673
5.565,-7.817398613,-0.993593893
5.5725,-7.795954727,-0.997993436
5.58,-7.774629938,-1.002394215
5.5875,-7.753423449,-1.006796149
5.595,-7.732334467,-1.011199151
5.6025,-7.711362209,-1.015603141
5.61,-7.690505892,-1.020008036
5.6175,-7.669764744,-1.024413754
5.625,-7.649137995,-1.028820215
5.6325,-7.628624881,-1.03322734
5.64,-7.608224645,-1.037635049
5.6475,-7.587936535,-1.042043265
5.655,-7.567759805,-1.046451909
5.6625,-7.547693713,-1.050860904
5.67,-7.527737523,-1.055270176
5.6775,-7.507890507,-1.059679647
5.685,-7.48815194,-1.064089245
5.6925,-7.468521103,-1.068498894
5.7,-7.448997283,-1.072908521
5.7075,-7.429579772,-1.077318055
5.715,-7.410267868,-1.081727422
5.7225,-7.391060874,-1.086136552
5.73,-7.3719581,-1.090545375
5.7375,-7.352958859,-1.09495382
5.745,-7.334062471,-1.099361818
5.7525,-7.31526826,-1.103769302
5.76,-7.296575558,-1.108176202
5.7675,-7.2779837,-1.112582453
5.775,-7.259492028,-1.116987987
5.7825,-7.241099887,-1.121392739
5.79,-7.22280663,-1.125796643
5.7975,-7.204611614,-1.130199636
5.805,-7.186514201,-1.134601652
5.8125,-7.168513758,-1.13900263
5.82,-7.150609659,-1.143402506
5.8275,-7.132801281,-1.147801218
5.835,-7.115088007,-1.152198706
5.8425,-7.097469227,-1.156594908
5.85,-7.079944333,-1.160989764
5.8575,-7.062512724,-1.165383214
5.865,-7.045173803,-1.169775201
5.8725,-7.027926979,-1.174165666
5.88,-7.010771667,-1.17855455
5.8875,-6.993707283,-1.182941798
5.895,-6.976733253,-1.187327352
5.9025,-6.959849005,-1.191711156
5.91,-6.943053971,-1.196093156
5.9175,-6.926347592,-1.200473297
5.925,-6.909729309,-1.204851525
5.9325,-6.893198572,-1.209227786
5.94,-6.876754832,-1.213602028
5.9475,-6.860397549,-1.217974197
5.955,-6.844126183,-1.222344243
5.9625,-6.827940203,-1.226712113
5.97,-6.81183908,-1.231077759
5.9775,-6.795822291,-1.235441128
5.985,-6.779889318,-1.239802173
5.9925,-6.764039645,-1.244160843
6,-6.748272765,-1.248517092
