"Freq [GHz]","dB(St(FloquetPort1:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort1:1,FloquetPort1:1)) [deg]","dB(St(FloquetPort2:1,FloquetPort1:1)) []","ang_deg(St(FloquetPort2:1,FloquetPort1:1)) [deg]"
3.2025,-9.88939260685026,-84.5805828321533,-0.618424164128639,-136.460948733137
3.21,-9.95379061438946,-85.4289234424771,-0.611381035023534,-136.994608803863
3.2175,-10.018378684345,-86.2810050244728,-0.60443584337304,-137.527986271396
3.225,-10.0831513870383,-87.1368884478479,-0.597588066469471,-138.061079370175
3.2325,-10.1481030317128,-87.9966352869939,-0.590837181391808,-138.593886356656
3.24,-10.2132276573755,-88.8603078005769,-0.584182665036501,-139.126405509378
3.2475,-10.2785190234216,-89.7279689087099,-0.577623994148338,-139.658635129012
3.255,-10.3439706000456,-90.5996821675618,-0.571160645351414,-140.190573538412
3.2625,-10.409575558445,-91.4755117412521,-0.564792095180164,-140.722219082662
3.27,-10.4753267608219,-92.3555223708733,-0.558517820110459,-141.253570129116
3.2775,-10.5412167501914,-93.2397793404777,-0.552337296590716,-141.784625067435
3.285,-10.6072377400036,-94.1283484398614,-0.546250001073087,-142.315382309617
3.2925,-10.6733816035926,-95.0212959239716,-0.540255410044623,-142.845840290032
3.3,-10.7396398634627,-95.9186884687563,-0.534353000058464,-143.375997465436
3.3075,-10.8060036804262,-96.8205931232764,-0.528542247765013,-143.905852315
3.315,-10.8724638426088,-97.7270772578893,-0.522822629943104,-144.43540334032
3.3225,-10.9390107543415,-98.6382085083127,-0.51719362353113,-144.96464906543
3.33,-11.005634424957,-99.554054715374,-0.511654705658128,-145.493588036809
3.3375,-11.0723244575151,-100.474683860245,-0.506205353674832,-146.022218823385
3.345,-11.1390700374813,-101.400163994961,-0.500845045184624,-146.550540016534
3.3525,-11.2058599213858,-102.330563168027,-0.495573258074462,-147.078550230075
3.36,-11.2726824254943,-103.265949344896,-0.490389470545673,-147.606248100262
3.3675,-11.3395254145226,-104.206390323134,-0.485293161144686,-148.133632285772
3.375,-11.4063762904331,-105.151953642052,-0.480283808793647,-148.660701467688
3.3825,-11.4732219813515,-106.102706486622,-0.475360892820919,-149.187454349478
3.39,-11.5400489306476,-107.058715585477,-0.470523892991464,-149.713889656974
3.3975,-11.6068430862268,-108.020047102802,-0.465772289537074,-150.240006138344
3.405,-11.673589890082,-108.986766523945,-0.461105563186489,-150.765802564059
3.4125,-11.7402742681616,-109.958938534566,-0.456523195195339,-151.291277726859
3.42,-11.8068806206103,-110.936626893181,-0.452024667375925,-151.81643044172
3.4275,-11.8733928124445,-111.919894296927,-0.447609462126842,-152.341259545803
3.435,-11.9397941647313,-112.908802240452,-0.443277062462427,-152.865763898419
3.4425,-12.0060674463374,-113.90341086779,-0.439026952042008,-153.389942380974
3.45,-12.0721948663264,-114.90377881715,-0.434858615198959,-153.913793896921
3.4575,-12.1381580670805,-115.909963058538,-0.430771536969576,-154.437317371703
3.465,-12.2039381182314,-116.922018724196,-0.426765203121716,-154.960511752696
3.4725,-12.2695155114866,-117.939998931827,-0.422839100183237,-155.483376009149
3.48,-12.3348701564415,-118.963954600646,-0.418992715470215,-156.005909132118
3.4875,-12.3999813774746,-119.993934260334,-0.415225537114917,-156.528110134399
3.495,-12.4648279118215,-121.029983852972,-0.411537054093554,-157.049978050459
3.5025,-12.529387908931,-122.072146528137,-0.407926756253787,-157.571511936362
3.51,-12.5936389312084,-123.120462431349,-0.404394134341977,-158.092710869693
3.5175,-12.6575579562527,-124.174968486126,-0.400938680030184,-158.613573949478
3.525,-12.7211213806977,-125.235698169958,-0.397559885942908,-159.134100296104
3.5325,-12.7843050257683,-126.30268128458,-0.394257245683566,-159.654289051237
3.54,-12.847084144664,-127.375943720973,-0.391030253860686,-160.174139377728
3.5475,-12.9094334318821,-128.455507219614,-0.387878406113834,-160.693650459531
3.555,-12.9713270345925,-129.541389126539,-0.384801199139264,-161.212821501606
3.5625,-13.0327385661743,-130.633602145888,-0.381798130715263,-161.731651729828
3.57,-13.0936411220232,-131.732154089649,-0.378868699727223,-162.250140390885
3.5775,-13.1540072977324,-132.837047625427,-0.376012406192411,-162.768286752185
3.585,-13.213809209749,-133.948280023128,-0.373228751284445,-163.286090101749
3.5925,-13.2730185185983,-135.065842901527,-0.370517237357448,-163.803549748111
3.6,-13.3316064547639,-136.189721975795,-0.367877367969924,-164.32066502021
3.6075,-13.3895438473011,-137.319896807115,-0.365308647908301,-164.837435267279
3.615,-13.4468011552527,-138.45634055563,-0.362810583210168,-165.353859858741
3.6225,-13.5033485019228,-139.599019738007,-0.360382681187193,-165.869938184092
3.63,-13.5591557120533,-140.747893991022,-0.358024450447721,-166.385669652787
3.6375,-13.6141923519315,-141.902915842599,-0.355735400919051,-166.901053694125
3.645,-13.6684277724415,-143.06403049184,-0.35351504386939,-167.416089757131
3.6525,-13.7218311550551,-144.231175599618,-0.351362891929465,-167.930777310434
3.66,-13.7743715607375,-145.404281091361,-0.349278459113821,-168.445115842147
3.6675,-13.826017981723,-146.583268973705,-0.347261260841779,-168.959104859743
3.675,-13.8767393960939,-147.76805316671,-0.345310813958054,-169.472743889931
3.6825,-13.926504825073,-148.958539353367,-0.343426636753053,-169.986032478527
3.69,-13.9752833929143,-150.154624848104,-0.34160824898281,-170.498970190328
3.6975,-14.0230443892533,-151.356198486018,-0.339855171888605,-171.01155660898
3.705,-14.0697573337509,-152.563140534507,-0.338166928216234,-171.52379133685
3.7125,-14.1153920428396,-153.775322628934,-0.336543042234925,-172.035673994889
3.72,-14.1599186983541,-154.992607733913,-0.33498303975593,-172.547204222503
3.7275,-14.203307917801,-156.214850131686,-0.33348644815076,-173.058381677414
3.735,-14.2455308259992,-157.441895439004,-0.332052796369083,-173.569206035524
3.7425,-14.2865591277949,-158.67358065376,-0.330681614956263,-174.079676990779
3.75,-14.3263651815326,-159.909734232505,-0.329372436070577,-174.589794255031
3.7575,-14.3649220729425,-161.150176199815,-0.328124793500056,-175.099557557893
3.765,-14.402203689081,-162.39471829029,-0.326938222679014,-175.608966646604
3.7725,-14.4381847919485,-163.64316412377,-0.325812260704188,-176.118021285884
3.78,-14.4728410913882,-164.895309414143,-0.324746446350577,-176.62672125779
3.7875,-14.5061493168605,-166.150942211892,-0.323740320086901,-177.135066361577
3.795,-14.5380872876782,-167.409843180269,-0.322793424090728,-177.643056413548
3.8025,-14.5686339812838,-168.671785904774,-0.321905302263263,-178.15069124691
3.81,-14.597769599145,-169.936537235304,-0.321075500243765,-178.65797071163
3.8175,-14.6254756298533,-171.203857660112,-0.320303565423654,-179.164894674286
3.825,-14.6517349090134,-172.473501710444,-0.319589046960251,-179.671463017921
3.8325,-14.6765316755241,-173.74521839444,-0.318931495790188,179.822324358108
3.84,-14.6998516238678,-175.018751658652,-0.318330464642463,179.316467538276
3.8475,-14.7216819520459,-176.293840875258,-0.317785508051171,178.810966591042
3.855,-14.7420114048206,-177.570221352839,-0.317296182367882,178.305821568995
3.8625,-14.7608303119541,-178.847624868342,-0.316862045773694,177.80103250901
3.87,-14.7781306211675,179.874219782342,-0.316482658290939,177.296599432392
3.8775,-14.7939059255759,178.595586217926,-0.31615758179455,176.792522345035
3.885,-14.8081514853985,177.316749892321,-0.315886380023114,176.288801237564
3.8925,-14.82086424378,176.037987505297,-0.315668618589578,175.785436085497
3.9,-14.8320428366052,174.759576406355,-0.315503864991615,175.282426849389
3.9075,-14.8416875962326,173.481793995008,-0.3153916886217,174.779773474989
3.915,-14.8498005491193,172.20491712071,-0.315331660776816,174.277475893389
3.9225,-14.8563854073547,170.929221485667,-0.315323354667857,173.77553402118
3.93,-14.8614475541677,169.654981053762,-0.315366345428709,173.273947760604
3.9375,-14.8649940235157,168.382467468717,-0.315460210125014,172.772716999703
3.945,-14.8670334739095,167.111949484577,-0.315604527762599,172.271841612478
3.9525,-14.8675761566665,165.843692411442,-0.315798879295611,171.771321459038
3.96,-14.866633878829,164.577957579224,-0.316042847634319,171.271156385752
3.9675,-14.8642199610154,163.31500182206,-0.316336017652623,170.771346225406
3.975,-14.8603491905082,162.055076985782,-0.316677976195247,170.271890797352
3.9825,-14.8550377699128,160.79842946064,-0.317068312084613,169.77278990766
3.99,-14.848303261743,159.545299741245,-0.317506616127439,169.274043349276
3.9975,-14.8401645293138,158.295922015442,-0.317992481121019,168.775650902167
4.005,-14.8306416743376,157.050523783576,-0.318525501859189,168.277612333479
4.0125,-14.8197559716317,155.809325509338,-0.319105275138047,167.779927397685
4.02,-14.8075298013548,154.57254030313,-0.319731399761322,167.282595836738
4.0275,-14.7939865791929,153.340373638605,-0.320403476545504,166.785617380224
4.035,-14.7791506849148,152.113023102796,-0.321121108324633,166.288991745508
4.0425,-14.7630473897145,150.890678179978,-0.321883899954877,165.79271863789
4.05,-14.7457027827469,149.67352006917,-0.322691458318747,165.296797750753
4.0575,-14.7271436972561,148.461721534966,-0.323543392329098,164.80122876571
4.065,-14.7073976366767,147.25544679113,-0.324439312932821,164.306011352761
4.0725,-14.6864927010735,146.054851416241,-0.325378833114277,163.811145170432
4.08,-14.6644575142662,144.86008230043,-0.326361567898452,163.316629865931
4.0875,-14.6413211519614,143.67127762215,-0.327387134353861,162.822465075293
4.095,-14.6171130711921,142.488566853713,-0.328455151595167,162.328650423528
4.1025,-14.5918630413412,141.312070794249,-0.329565240785567,161.835185524768
4.11,-14.5656010769982,140.141901628609,-0.330717025138898,161.342069982412
4.1175,-14.538357372873,138.978163010649,-0.331910129921496,160.849303389274
4.125,-14.510162240964,137.820950169289,-0.333144182453825,160.356885327726
4.1325,-14.4810460501524,136.670350035645,-0.334418812111825,159.864815369843
4.14,-14.4510391683664,135.526441389559,-0.335733650328036,159.373093077549
4.1475,-14.4201719074367,134.389295023774,-0.337088330592487,158.881718002758
4.155,-14.3884744707374,133.258973924062,-0.338482488453332,158.390689687516
4.1625,-14.3559769036847,132.13553346358,-0.339915761517265,157.900007664144
4.17,-14.3227090471426,131.019021609784,-0.341387789449689,157.409671455379
4.1775,-14.2887004937644,129.909479142257,-0.342898213974682,156.919680574515
4.185,-14.2539805472791,128.806939879863,-0.344446678874714,156.430034525542
4.1925,-14.2185781847129,127.711430915688,-0.346032829990153,155.940732803282
4.2,-14.1825220215217,126.622972858306,-0.347656315218558,155.451774893535
4.2075,-14.1458402795917,125.541580077969,-0.349316784513753,154.963160273205
4.215,-14.1085607580565,124.467260956393,-0.35101388988469,154.474888410447
4.2225,-14.0707108068634,123.400018138903,-0.352747285394099,153.986958764797
4.23,-14.032317303013,122.33984878778,-0.354516627156946,153.499370787307
4.2375,-13.9934066293875,121.28674483571,-0.356321573338689,153.01212392068
4.245,-13.9540046560739,120.240693238366,-0.358161784153316,152.525217599405
4.2525,-13.9141367240854,119.201676225192,-0.360036921861208,152.038651249885
4.26,-13.8738276313744,118.169671547569,-0.361946650766813,151.552424290573
4.2675,-13.8331016210335,117.144652723607,-0.363890637216115,151.066536132096
4.275,-13.7919823715705,116.126589278896,-0.365868549593935,150.580986177393
4.2825,-13.7504929891491,115.11544698262,-0.367880058321037,150.095773821838
