"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
3.5925,0.216944714672044,0.958239652249166
3.6,0.215486306491506,0.958530930641857
3.6075,0.214053733739229,0.958814443540193
3.615,0.212647333992934,0.959090238544926
3.6225,0.211267442458703,0.959358363366062
3.63,0.209914391520206,0.959618865816068
3.6375,0.20858851026963,0.959871793803145
3.645,0.207290124020864,0.960117195324561
3.6525,0.20601955380567,0.960355118460058
3.66,0.204777115853677,0.960585611365321
3.6675,0.203563121057216,0.960808722265516
3.675,0.202377874422133,0.961024499448901
3.6825,0.2012216745059,0.961232991260497
3.69,0.200094812844492,0.961434246095843
3.6975,0.198997573369638,0.961628312394809
3.705,0.197930231818241,0.961815238635487
3.7125,0.196893055135893,0.961995073328153
3.72,0.195886300876559,0.962167865009306
3.7275,0.19491021660067,0.962333662235767
3.735,0.193965039273954,0.962492513578871
3.7425,0.193050994669515,0.962644467618714
3.75,0.192168296775724,0.962789572938488
3.7575,0.191317147212612,0.962927878118885
3.765,0.190497734659535,0.963059431732576
3.7725,0.189710234296924,0.963184282338767
3.78,0.188954807264987,0.963302478477833
3.7875,0.188231600142242,0.963414068666021
3.795,0.187540744446749,0.963519101390234
3.8025,0.186882356162898,0.963617625102896
3.81,0.186256535296528,0.96370968821688
3.8175,0.185663365461094,0.963795339100529
3.825,0.185102913497475,0.963874626072737
3.8325,0.1845752291299,0.963947597398125
3.84,0.184080344660286,0.964014301282272
3.8475,0.183618274703122,0.964074785867046
3.855,0.183189015962819,0.964129099225991
3.8625,0.182792547055211,0.964177289359806
3.87,0.182428828374643,0.964219404191889
3.8775,0.182097802007849,0.964255491563968
3.885,0.181799391695481,0.964285599231799
3.8925,0.181533502841936,0.964309774860943
3.9,0.181300022573758,0.964328066022625
3.9075,0.181098819846639,0.964340520189658
3.915,0.180929745600709,0.964347184732451
3.9225,0.180792632963513,0.964348106915089
3.93,0.180687297499767,0.964343333891487
3.9375,0.180613537506699,0.964332912701621
3.945,0.180571134353508,0.96431689026783
3.9525,0.180559852863189,0.964295313391196
3.96,0.18057944173476,0.964268228747996
3.9675,0.180629634003664,0.964235682886226
